"sim_id","SOC1_Concl","SOC2_Concl","DIR1_Concl","DIR2_Concl","CONTR1_Concl","CONTR2_Concl"
1,0.285,0.041,0.285,0.981,0.239,0.905
2,0.918,0.022,0.918,0.979,0.939,0.935
3,0.898,0.495,0.898,0.956,0.862,0.856
4,0.913,0.326,0.913,0.998,0.708,0.991
5,0.98,0.138,0.98,0.993,0.989,0.963
6,0.574,0.031,0.574,0.999,0.709,0.99
7,0.94,0.356,0.94,0.977,0.913,0.65
8,0.975,0.317,0.975,0.985,0.935,0.526
9,0.923,0.172,0.923,0.996,0.88,0.894
10,0.834,0.115,0.834,0.842,0.879,0.154
11,0.813,0.047,0.813,0.98,0.688,0.946
12,0.953,0.178,0.953,0.993,0.899,0.965
13,0.779,0.047,0.779,0.851,0.544,0.521
14,0.814,0.057,0.814,0.988,0.97,0.88
15,0.851,0.34,0.851,0.98,0.59,0.95
16,0.76,0.065,0.76,0.989,0.659,0.959
17,0.877,0.041,0.877,0.891,0.876,0.288
18,0.947,0.108,0.947,0.989,0.881,0.8
19,0.487,0.045,0.487,0.996,0.853,0.869
20,0.812,0.132,0.812,0.997,0.928,0.953
21,0.345,0.452,0.345,0.989,0.049,0.968
22,0.915,0.129,0.915,0.992,0.932,0.944
23,0.387,0.04,0.387,0.996,0.696,0.947
24,0.826,0.089,0.826,0.996,0.841,0.96
25,0.91,0.04,0.91,0.995,0.937,0.966
26,0.958,0.03,0.958,0.968,0.972,0.827
27,0.988,0.725,0.988,0.991,0.889,0.946
28,0.692,0.066,0.692,0.999,0.39,0.984
29,0.724,0.005,0.724,0.994,0.898,0.959
30,0.96,0.334,0.96,0.991,0.966,0.721
31,0.966,0.477,0.966,0.977,0.956,0.904
32,0.945,0.244,0.945,0.996,0.987,0.894
33,0.886,0.05,0.886,0.995,0.651,0.912
34,0.936,0.472,0.936,0.993,0.951,0.449
35,0.695,0.222,0.695,0.998,0.712,0.934
36,0.869,0.048,0.869,0.998,0.804,0.958
37,0.623,0.009,0.623,0.993,0.91,0.883
38,0.82,0.066,0.82,0.948,0.705,0.809
39,0.898,0.137,0.898,0.992,0.951,0.818
40,0.972,0.027,0.972,0.995,0.962,0.972
41,0.106,0.104,0.106,0.975,0.061,0.91
42,0.942,0.033,0.942,0.991,0.941,0.962
43,0.312,0.146,0.312,0.992,0.529,0.957
44,0.453,0.073,0.453,0.981,0.293,0.188
45,0.912,0.155,0.912,0.975,0.646,0.951
46,0.947,0.088,0.947,0.995,0.9,0.842
47,0.873,0.051,0.873,0.992,0.913,0.979
48,0.862,0.158,0.862,0.983,0.864,0.442
49,0.975,0.162,0.975,0.966,0.964,0.968
50,0.797,0.191,0.797,0.993,0.872,0.979
51,0.951,0.258,0.951,0.997,0.946,0.955
52,0.733,0.821,0.733,0.984,0.754,0.52
53,0.941,0.019,0.941,0.993,0.858,0.548
54,0.96,0.575,0.96,0.99,0.981,0.933
55,0.919,0.415,0.919,0.996,0.952,0.901
56,0.822,0.006,0.822,0.99,0.919,0.223
57,0.951,0.285,0.951,0.989,0.994,0.925
58,0.971,0.464,0.971,0.962,0.957,0.768
59,0.895,0.015,0.895,0.989,0.724,0.802
60,0.569,0.095,0.569,0.992,0.796,0.931
61,0.933,0.115,0.933,0.996,0.979,0.963
62,0.931,0.047,0.931,0.993,0.979,0.622
63,0.908,0.106,0.908,0.997,0.937,0.963
64,0.937,0.322,0.937,0.784,0.898,0.724
