sim_id,test_activity_correct,test_activity_incorrect,direction_activity_SOCconsistent,direction_activity_inverse,control_activity_ordered,control_activity_inverse
1,0.958,0.208,0.958,0.178,0.952,0.164
2,0.885,0.251,0.885,0.873,0.937,0.775
3,0.926,0.106,0.926,0.92,0.714,0.856
4,0.973,0.589,0.973,0.993,0.963,0.971
5,0.949,0.035,0.949,0.685,0.827,0.659
6,0.742,0.027,0.742,0.532,0.826,0.409
7,0.338,0.04,0.338,0.615,0.538,0.499
8,0.889,0.124,0.889,0.416,0.9,0.355
9,0.961,0.06,0.961,0.233,0.892,0.866
10,0.963,0.082,0.963,0.362,0.97,0.637
11,0.979,0.407,0.979,0.651,0.95,0.442
12,0.856,0.091,0.856,0.724,0.839,0.576
13,0.75,0.033,0.75,0.102,0.849,0.238
14,0.4,0.125,0.4,0.06,0.455,0.088
15,0.834,0.021,0.834,0.107,0.924,0.303
16,0.956,0.036,0.956,0.136,0.946,0.099
17,0.957,0.046,0.957,0.767,0.963,0.825
18,0.956,0.107,0.956,0.77,0.974,0.703
19,0.926,0.03,0.926,0.826,0.968,0.64
20,0.878,0.065,0.878,0.507,0.808,0.271
21,0.925,0.065,0.925,0.714,0.964,0.508
22,0.935,0.091,0.935,0.162,0.841,0.513
23,0.828,0.075,0.828,0.032,0.838,0.078
24,0.93,0.201,0.93,0.348,0.828,0.245
25,0.934,0.071,0.934,0.032,0.928,0.163
26,0.958,0.125,0.958,0.168,0.943,0.271
27,0.981,0.032,0.981,0.395,0.982,0.327
28,0.891,0.058,0.891,0.948,0.95,0.935
29,0.968,0.189,0.968,0.862,0.959,0.46
30,0.972,0.03,0.972,0.981,0.969,0.945
31,0.976,0.201,0.976,0.902,0.787,0.89
32,0.823,0.21,0.823,0.397,0.738,0.761
33,0.886,0.05,0.886,0.995,0.651,0.912
34,0.936,0.472,0.936,0.993,0.951,0.449
35,0.695,0.222,0.695,0.998,0.712,0.934
36,0.869,0.048,0.869,0.998,0.804,0.958
37,0.623,0.009,0.623,0.993,0.91,0.883
38,0.82,0.066,0.82,0.948,0.705,0.809
39,0.898,0.137,0.898,0.992,0.951,0.818
40,0.972,0.027,0.972,0.995,0.962,0.972
41,0.106,0.104,0.106,0.975,0.061,0.91
42,0.942,0.033,0.942,0.991,0.941,0.962
43,0.312,0.146,0.312,0.992,0.529,0.957
44,0.453,0.073,0.453,0.981,0.293,0.188
45,0.912,0.155,0.912,0.975,0.646,0.951
46,0.947,0.088,0.947,0.995,0.9,0.842
47,0.873,0.051,0.873,0.992,0.913,0.979
48,0.862,0.158,0.862,0.983,0.864,0.442
49,0.975,0.162,0.975,0.966,0.964,0.968
50,0.797,0.191,0.797,0.993,0.872,0.979
51,0.951,0.258,0.951,0.997,0.946,0.955
52,0.733,0.821,0.733,0.984,0.754,0.52
53,0.941,0.019,0.941,0.993,0.858,0.548
54,0.96,0.575,0.96,0.99,0.981,0.933
55,0.919,0.415,0.919,0.996,0.952,0.901
56,0.822,0.006,0.822,0.99,0.919,0.223
57,0.951,0.285,0.951,0.989,0.994,0.925
58,0.971,0.464,0.971,0.962,0.957,0.768
59,0.895,0.015,0.895,0.989,0.724,0.802
60,0.569,0.095,0.569,0.992,0.796,0.931
61,0.933,0.115,0.933,0.996,0.979,0.963
62,0.931,0.047,0.931,0.993,0.979,0.622
63,0.908,0.106,0.908,0.997,0.937,0.963
64,0.937,0.322,0.937,0.784,0.898,0.724
