sub_id,age,class_year,gender,static_con,causal_con,soc_con,dir_con,contrDir_con,correct_soc_choice,test_soc_choice,ordered_dir_choice,test_dir_choice,ordered_contrDir_choice,test_contrDir_choice,memory_check,test_rating_correct,test_rating_incorrect,direction_rating_SOCconsistent,direction_rating_inverse,control_rating_ordered,control_rating_inverse
1,21,2022,m,1,1,1,1,1,right,right,left,both,right,both,1,0.75,0.25,0.5,0.75,0.5,0.5
2,20,2025,f,1,2,1,1,2,left,unsure,left,unsure,left,unsure,1,0.5,0.5,0.5,0.5,0.5,0.5
3,19,2024,f,1,3,1,2,2,right,right,right,both,left,both,1,0.8,0.2,0.8,0.65,0.65,0.8
4,18,2025,m,1,4,1,2,1,left,unsure,right,unsure,right,unsure,1,0.5,0.5,0.5,0.5,0.5,0.5
5,18,2025,m,1,1,2,1,1,left,left,left,both,right,both,1,0.8,0.2,0.6,0.95,0.6,0.6
6,18,2025,f,1,2,2,1,2,right,right,left,both,left,both,1,0.9,0.4,1,0.6,0.9,0.6
7,19,2025,f,1,3,2,2,2,left,left,right,both,left,both,1,0.6,0.4,0.65,0.5,0.75,0.5
8,20,2025,m,1,4,2,2,1,right,unsure,right,unsure,right,unsure,1,0.8,0.8,0.5,0.5,0.5,0.5
9,19,2025,f,2,1,1,1,1,right,right,left,left,right,right,1,0.75,0.25,0.75,0.25,0.75,0.25
10,19,2025,f,2,2,1,1,2,left,left,left,left,left,left,1,0.75,0.25,0.75,0.45,0.75,0.45
11,19,2025,f,2,3,1,2,2,right,right,right,both,left,both,1,0.9,0,1,0.75,0.9,0.9
12,19,2025,f,2,4,1,2,1,left,left,right,right,right,right,1,0.75,0.25,0.8,0.2,0.8,0.2
13,18,2025,m,2,1,2,1,1,left,left,left,left,right,unsure,1,0.75,0.25,0.5,0.25,0.5,0.5
14,19,2025,m,2,2,2,1,2,right,left,left,unsure,left,unsure,1,0,0,0.5,0.5,0.5,0.5
15,22,2022,m,2,3,2,2,2,left,left,right,unsure,left,unsure,1,0.5,0.5,0.5,0.5,0.5,0.5
16,19,2025,f,2,4,2,2,1,right,right,right,unsure,right,unsure,1,0.5,0.5,0.5,0.5,0.5,0.5
17,19,2025,f,3,2,1,1,1,right,right,left,unsure,right,unsure,1,0.5,0.5,0.5,0.5,0.5,0.5
18,20,2024,f,3,1,1,1,2,left,left,left,left,left,unsure,1,0.55,0.05,0.55,0.05,0.05,0.05
19,19,2024,f,3,4,1,2,2,right,right,right,both,left,both,1,0.75,0.25,0.55,0.75,0.55,0.5
20,18,2025,m,3,3,1,2,1,left,left,right,both,right,both,1,0.75,0.25,0.5,0.5,0.5,0.5
21,19,2025,f,3,2,2,1,1,left,left,left,unsure,right,unsure,1,0.5,0.5,0.5,0.5,0.5,0.5
22,19,2025,m,3,1,2,1,2,right,right,left,unsure,left,unsure,1,0.5,0.5,0.5,0.5,0.5,0.5
23,19,2025,f,3,4,2,2,2,left,left,right,both,left,both,1,0.75,0.25,0.55,0.75,0.6,0.7
24,19,2025,f,3,3,2,2,1,right,right,right,both,right,both,1,0.55,0.4,0.55,0.7,0.55,0.55
25,20,2023,m,4,2,1,1,1,right,right,left,left,right,right,1,1,0,0.6,0,0.6,0
26,19,2025,f,4,1,1,1,2,left,right,left,unsure,left,both,1,0.45,0.55,0.45,0.55,0.55,0.55
27,19,2025,m,4,4,1,2,2,right,right,right,left,left,unsure,1,0.5,0.5,0.5,0.6,0.5,0.5
28,19,2025,f,4,3,1,2,1,left,left,right,both,right,both,1,0.7,0.25,0.7,0.55,0.55,0.55
29,19,2024,m,4,2,2,1,1,left,unsure,left,unsure,right,unsure,1,0.5,0.5,0.5,0.5,0.5,0.5
30,18,2025,f,4,1,2,1,2,right,right,left,both,left,both,1,0.55,0.45,0.7,0.55,0.55,0.55
31,19,2025,m,4,4,2,2,2,left,left,right,both,left,both,1,0.75,0.1,0.6,0.9,0.55,0.55
32,19,2025,m,4,3,2,2,1,right,right,right,both,right,both,1,0.55,0.45,0.55,0.6,0.8,0.8
