sim_id,test_activity_correct,test_activity_incorrect,direction_activity_SOCconsistent,direction_activity_inverse,control_activity_ordered,control_activity_inverse,model_type
1,0.605,0.001,0.605,0.039,0.311,0.004,no_inverse
2,0.782,0.002,0.782,0.053,0.792,0.069,no_inverse
3,0.73,0.002,0.73,0.064,0.836,0.027,no_inverse
4,0.474,0,0.474,0.006,0.524,0.049,no_inverse
5,0.55,0.001,0.55,0.033,0.888,0.129,no_inverse
6,0.547,0.007,0.547,0.071,0.737,0.213,no_inverse
7,0.882,0.001,0.882,0.062,0.805,0.045,no_inverse
8,0.554,0.003,0.554,0.015,0.262,0.113,no_inverse
9,0.746,0.008,0.746,0.06,0.794,0.137,no_inverse
10,0.677,0.003,0.677,0.038,0.8,0.114,no_inverse
11,0.285,0.005,0.285,0.046,0.811,0.019,no_inverse
12,0.777,0.003,0.777,0.037,0.86,0.167,no_inverse
13,0.948,0.007,0.948,0.035,0.929,0.113,no_inverse
14,0.743,0.001,0.743,0.01,0.92,0.022,no_inverse
15,0.932,0.009,0.932,0.06,0.945,0.241,no_inverse
16,0.898,0.005,0.898,0.041,0.811,0.024,no_inverse
17,0.416,0,0.416,0.039,0.626,0.049,no_inverse
18,0.79,0.006,0.79,0.046,0.763,0.104,no_inverse
19,0.619,0.003,0.619,0.03,0.718,0.021,no_inverse
20,0.76,0.007,0.76,0.043,0.876,0.03,no_inverse
21,0.256,0.001,0.256,0.069,0.21,0.036,no_inverse
22,0.756,0,0.756,0.03,0.664,0.067,no_inverse
23,0.645,0.004,0.645,0.089,0.491,0.047,no_inverse
24,0.777,0.083,0.777,0.126,0.748,0.248,no_inverse
25,0.637,0.001,0.637,0.011,0.875,0.053,no_inverse
26,0.928,0.011,0.928,0.039,0.841,0.029,no_inverse
27,0.461,0.006,0.461,0.037,0.623,0.156,no_inverse
28,0.289,0.006,0.289,0.013,0.194,0.046,no_inverse
29,0.088,0.002,0.088,0.077,0.288,0.179,no_inverse
30,0.431,0.006,0.431,0.081,0.55,0.497,no_inverse
31,0.572,0.002,0.572,0.024,0.531,0.076,no_inverse
32,0.496,0.002,0.496,0.004,0.176,0.06,no_inverse
33,0.878,0.013,0.878,0.411,0.851,0.11,split
34,0.972,0.046,0.972,0.159,0.968,0.173,split
35,0.97,0.072,0.97,0.991,0.98,0.988,split
36,0.936,0.022,0.936,0.064,0.975,0.141,split
37,0.963,0.018,0.963,0.618,0.979,0.642,split
38,0.939,0.016,0.939,0.216,0.953,0.304,split
39,0.91,0.076,0.91,0.962,0.963,0.798,split
40,0.975,0.029,0.975,0.733,0.991,0.728,split
41,0.884,0.014,0.884,0.701,0.907,0.842,split
42,0.94,0.026,0.94,0.661,0.938,0.659,split
43,0.957,0.244,0.957,0.094,0.949,0.312,split
44,0.905,0.062,0.905,0.439,0.967,0.3,split
45,0.926,0.037,0.926,0.032,0.926,0.111,split
46,0.979,0.032,0.979,0.151,0.987,0.11,split
47,0.946,0.033,0.946,0.422,0.987,0.364,split
48,0.971,0.025,0.971,0.93,0.982,0.742,split
49,0.845,0.047,0.845,0.996,0.929,0.838,split
50,0.962,0.045,0.962,0.992,0.939,0.736,split
51,0.989,0.028,0.989,0.991,0.996,0.977,split
52,0.945,0.237,0.945,0.993,0.895,0.941,split
53,0.922,0.017,0.922,0.995,0.965,0.975,split
54,0.986,0.077,0.986,0.995,0.949,0.884,split
55,0.984,0.058,0.984,0.999,0.964,0.996,split
56,0.976,0.176,0.976,0.989,0.973,0.893,split
57,0.88,0.053,0.88,0.997,0.979,0.983,split
58,0.748,0.151,0.748,0.991,0.555,0.968,split
59,0.968,0.191,0.968,0.988,0.97,0.93,split
60,0.964,0.039,0.964,0.989,0.967,0.921,split
61,0.802,0.151,0.802,0.981,0.824,0.428,split
62,0.869,0.026,0.869,0.992,0.891,0.943,split
63,0.981,0.04,0.981,0.987,0.989,0.694,split
64,0.829,0.003,0.829,0.997,0.926,0.866,split
