id,model_type,test_choice,test_activity_correct,test_activity_incorrect,direction_choice,direction_activity_SOCconsistent,direction_activity_inverse,control_choice,control_activity_ordered,control_activity_inverse
1,no_inverse,1,0.891,0.011,1,0.891,0.162,1,0.912,0.488
2,no_inverse,1,0.99,0.025,1,0.99,0.384,0,0.989,0.657
3,no_inverse,1,0.995,0.017,1,0.995,0.431,1,0.923,0.299
4,no_inverse,1,0.996,0.042,0,0.996,0.825,0,0.995,0.543
5,no_inverse,1,0.967,0.034,1,0.967,0.434,1,0.961,0.406
6,no_inverse,1,0.976,0.035,0,0.976,0.829,1,0.979,0.186
7,no_inverse,1,0.981,0.02,0,0.981,0.624,1,0.983,0.233
8,no_inverse,1,0.979,0.091,0,0.979,0.532,0,0.965,0.654
9,no_inverse,1,0.952,0.029,1,0.952,0.359,1,0.966,0.334
10,no_inverse,1,0.977,0.05,1,0.977,0.17,1,0.957,0.306
11,weak_inverse,1,0.942,0.017,1,0.942,0.279,1,0.971,0.432
12,weak_inverse,1,0.976,0.024,1,0.976,0.268,1,0.901,0.163
13,weak_inverse,1,0.974,0.013,1,0.974,0.258,0,0.969,0.641
14,weak_inverse,1,0.993,0.015,0,0.993,0.667,0,0.991,0.752
15,weak_inverse,1,0.97,0.07,1,0.97,0.068,1,0.916,0.146
16,weak_inverse,1,0.989,0.02,1,0.989,0.091,1,0.985,0.122
17,weak_inverse,1,0.95,0.017,1,0.95,0.433,0,0.835,0.763
18,weak_inverse,1,0.981,0.034,0,0.981,0.6,0,0.97,0.554
19,weak_inverse,1,0.978,0.047,0,0.978,0.55,1,0.984,0.381
20,weak_inverse,1,0.941,0.019,0,0.941,0.545,1,0.965,0.383
21,split,1,0.898,0.086,0,0.898,0.714,0,0.82,0.502
22,split,1,0.961,0.214,0,0.961,0.862,0,0.972,0.904
23,split,1,0.963,0.167,0,0.963,0.727,0,0.925,0.627
24,split,1,0.578,0.031,1,0.578,0.217,1,0.867,0.268
25,split,1,0.974,0.107,1,0.974,0.22,1,0.949,0.392
26,split,1,0.959,0.104,1,0.959,0.462,1,0.97,0.421
27,split,1,0.974,0.198,0,0.974,0.641,0,0.956,0.593
28,split,1,0.909,0.085,1,0.909,0.209,0,0.945,0.577
29,split,1,0.963,0.3,1,0.963,0.235,1,0.918,0.189
30,split,1,0.54,0.09,1,0.54,0.326,1,0.926,0.117
31,strong_inverse,999,0.361,0.241,999,0.361,0.128,1,0.642,0.084
32,strong_inverse,0,0.91,0.62,1,0.91,0.037,1,0.903,0.032
33,strong_inverse,1,0.925,0.148,0,0.925,0.658,1,0.864,0.391
34,strong_inverse,999,0.331,0.282,2,0.331,0.806,2,0.217,0.793
35,strong_inverse,999,0.489,0.037,999,0.489,0.137,1,0.809,0.107
36,strong_inverse,1,0.857,0.157,1,0.857,0.159,1,0.874,0.383
37,strong_inverse,999,0.119,0.178,2,0.119,0.962,2,0.448,0.902
38,strong_inverse,999,0.137,0.157,999,0.137,0.233,999,0.246,0.376
39,strong_inverse,1,0.534,0.423,0,0.534,0.51,2,0.26,0.605
40,strong_inverse,1,0.741,0.178,1,0.741,0.064,1,0.904,0.164
41,no_inverse,1,0.979,0.219,1,0.979,0.166,0,0.969,0.759
42,no_inverse,1,0.949,0.011,1,0.949,0.284,1,0.95,0.442
43,no_inverse,1,0.976,0.013,0,0.976,0.588,1,0.973,0.469
44,no_inverse,1,0.99,0.026,0,0.99,0.55,0,0.993,0.905
45,no_inverse,1,0.986,0.016,1,0.986,0.29,1,0.987,0.426
46,no_inverse,1,0.97,0.002,1,0.97,0.07,1,0.905,0.24
47,no_inverse,1,0.922,0.006,1,0.922,0.173,1,0.978,0.499
48,no_inverse,1,0.952,0.004,1,0.952,0.091,1,0.971,0.183
49,no_inverse,1,0.99,0.015,0,0.99,0.916,0,0.991,0.778
50,no_inverse,1,0.921,0.021,1,0.921,0.352,1,0.974,0.463
51,weak_inverse,1,0.938,0.035,0,0.938,0.737,0,0.891,0.5467
52,weak_inverse,1,0.933,0.05,0,0.933,0.932,0,0.924,0.85
53,weak_inverse,1,0.971,0.015,0,0.971,0.825,0,0.975,0.811
54,weak_inverse,1,0.962,0.046,0,0.962,0.526,1,0.971,0.264
55,weak_inverse,1,0.96,0.029,1,0.96,0.285,1,0.961,0.149
56,weak_inverse,1,0.977,0.04,0,0.977,0.618,1,0.985,0.332
57,weak_inverse,1,0.968,0.032,0,0.968,0.736,1,0.97,0.437
58,weak_inverse,1,0.956,0.037,1,0.956,0.422,0,0.938,0.639
59,weak_inverse,1,0.99,0.027,0,0.99,0.861,0,0.991,0.749
60,weak_inverse,1,0.957,0.047,0,0.957,0.744,0,0.917,0.669
61,split,1,0.926,0.071,1,0.926,0.05,1,0.961,0.098
62,split,1,0.963,0.069,0,0.963,0.825,1,0.939,0.479
63,split,1,0.966,0.065,0,0.966,0.952,0,0.958,0.928
64,split,1,0.873,0.048,0,0.873,0.91,0,0.84,0.855
65,split,1,0.962,0.042,0,0.962,0.621,0,0.964,0.64
66,split,1,0.566,0.472,0,0.566,0.855,0,0.855,0.826
67,split,1,0.851,0.165,1,0.851,0.492,0,0.839,0.668
68,split,1,0.923,0.161,1,0.923,0.239,1,0.831,0.374
69,split,1,0.712,0.009,1,0.712,0.415,0,0.849,0.626
70,split,1,0.968,0.286,0,0.968,0.972,0,0.976,0.925
71,strong_inverse,0,0.932,0.844,0,0.932,0.885,0,0.863,0.728
72,strong_inverse,1,0.848,0.077,1,0.848,0.069,0,0.909,0.129
73,strong_inverse,0,0.818,0.789,0,0.818,0.753,0,0.649,0.759
74,strong_inverse,0,0.83,0.56,1,0.83,0.485,1,0.231,0.448
75,strong_inverse,999,0.368,0.123,2,0.368,0.917,2,0.336,0.925
76,strong_inverse,1,0.845,0.112,1,0.845,0.411,1,0.924,0.352
77,strong_inverse,999,0.474,0.117,999,0.474,0.027,999,0.453,0.126
78,strong_inverse,999,0.432,0.357,2,0.432,0.789,0,0.895,0.68
79,strong_inverse,999,0.172,0.082,2,0.172,0.944,0,0.577,0.882
80,strong_inverse,999,0.174,0.299,999,0.174,0.441,999,0.229,0.183
81,no_inverse,1,0.992,0.024,1,0.992,0.11,1,0.989,0.271
82,no_inverse,1,0.985,0.018,0,0.985,0.915,0,0.983,0.698
83,no_inverse,1,0.992,0.026,1,0.992,0.385,0,0.993,0.517
84,no_inverse,1,0.966,0.009,1,0.966,0.428,1,0.971,0.252
85,no_inverse,1,0.954,0.005,1,0.954,0.113,1,0.97,0.081
86,no_inverse,1,0.992,0.03,1,0.992,0.241,1,0.989,0.412
87,no_inverse,1,0.988,0.058,1,0.988,0.452,0,0.969,0.867
88,no_inverse,1,0.986,0.015,0,0.986,0.703,0,0.774,0.648
89,no_inverse,1,0.893,0.043,1,0.893,0.188,1,0.79,0.145
90,no_inverse,1,0.979,0.033,0,0.979,0.558,0,0.974,0.935
91,weak_inverse,1,0.98,0.012,0,0.98,0.737,0,0.98,0.598
92,weak_inverse,1,0.954,0.039,1,0.954,0.345,1,0.939,0.285
93,weak_inverse,1,0.968,0.055,0,0.968,0.54,0,0.974,0.934
94,weak_inverse,1,0.989,0.043,1,0.989,0.496,1,0.974,0.172
95,weak_inverse,1,0.94,0.015,1,0.94,0.168,1,0.904,0.231
96,weak_inverse,1,0.928,0.047,1,0.928,0.261,1,0.937,0.206
97,weak_inverse,1,0.978,0.054,1,0.978,0.469,1,0.971,0.251
98,weak_inverse,1,0.915,0.017,0,0.915,0.587,1,0.95,0.322
99,weak_inverse,1,0.963,0.011,1,0.963,0.4,1,0.973,0.432
100,weak_inverse,1,0.945,0.03,1,0.945,0.494,1,0.96,0.118
101,split,1,0.981,0.057,0,0.981,0.635,0,0.971,0.518
102,split,1,0.963,0.032,0,0.963,0.906,0,0.981,0.874
103,split,1,0.894,0.015,1,0.894,0.267,1,0.926,0.262
104,split,1,0.973,0.042,1,0.973,0.405,0,0.951,0.565
105,split,1,0.958,0.013,1,0.958,0.266,1,0.956,0.358
106,split,1,0.967,0.031,0,0.967,0.602,0,0.969,0.682
107,split,1,0.989,0.028,0,0.989,0.925,0,0.975,0.891
108,split,1,0.977,0.028,0,0.977,0.955,0,0.887,0.881
109,split,1,0.872,0.047,0,0.872,0.556,0,0.956,0.551
110,split,1,0.96,0.027,0,0.96,0.583,0,0.975,0.665
111,strong_inverse,1,0.766,0.181,0,0.766,0.929,0,0.644,0.824
112,strong_inverse,1,0.531,0.097,0,0.531,0.933,0,0.544,0.74
113,strong_inverse,999,0.317,0.135,999,0.317,0.37,1,0.66,0.296
114,strong_inverse,0,0.871,0.661,0,0.871,0.625,1,0.877,0.483
115,strong_inverse,1,0.612,0.264,0,0.612,0.946,0,0.703,0.91
116,strong_inverse,0,0.782,0.799,1,0.782,0.031,1,0.564,0.079
117,strong_inverse,999,0.398,0.264,2,0.398,0.645,0,0.794,0.723
118,strong_inverse,1,0.795,0.082,0,0.795,0.718,0,0.877,0.742
119,strong_inverse,999,0.481,0.143,2,0.481,0.848,2,0.331,0.878
120,strong_inverse,1,0.807,0.281,0,0.807,0.732,0,0.913,0.611
